"Modulo","Submodulo / flujo","Modelos principales","Tablas afectadas","Descripcion"
"Billing / Cobros","Cobro manual de cargos pendientes","App\Models\Billing\Payment; PaymentApplication; Charge","billing.payments; billing.payment_applications; billing.charges","Registra pagos desde administracion para mensualidades, inscripciones u otros cargos pendientes. Es el flujo base de pagos manuales."
"Billing / Cobros","Pago anual","Payment; PaymentApplication; Charge; CreditBalance; CreditMovement; AnnualDiscountRule","billing.payments; billing.payment_applications; billing.charges; billing.credit_balances; billing.credit_movements; billing.annual_discount_rules","Registra un pago de anualidad, aplica el pago a cargos mensuales del anio y puede generar saldo a favor por descuentos."
"Billing / Cargos","Cargos pendientes","Charge; ChargeConcept","billing.charges; billing.concepts","Guarda las cuentas por cobrar antes de que exista un pago. Aqui caen mensualidades, inscripciones, listas de invitados, casilleros, multas, publicidad, etc."
"Billing / Conceptos de cobro","Catalogo de conceptos","ChargeConcept; ChargeConceptClubAmount","billing.concepts; billing.concept_club_amounts","Define los conceptos que se pueden cobrar, por ejemplo MONTHLY_FEE, INSCRIPTION, BUSINESS_AD, LOCKERS, GUEST_LIST, CAFETERIA_PASS, EVENT."
"Billing / Metodos de pago","Catalogo/configuracion de metodos","PaymentMethod; ClubPaymentMethod","billing.payment_methods; billing.club_payment_methods","Define metodos de pago y si aplican por club. Tambien controla si afectan corte de caja."
"Billing / Corte de caja","Corte individual","CashCut; CashCutDenomination; Payment","billing.cash_cuts; billing.cash_cut_denominations; billing.payments","Agrupa pagos recibidos por cajero y fecha. No crea pagos, solo los consulta y los suma para corte."
"Billing / Corte global","Corte global","GlobalCashCut; CashCut; Payment","billing.global_cash_cuts; billing.cash_cuts; billing.payments","Agrupa varios cortes individuales. No crea pagos, solo consolida cortes."
"App movil / Pagos","Historial, pendientes y recibo","Payment; Charge; PaymentApplication","billing.payments; billing.charges; billing.payment_applications","API de consulta para la app movil: pagos pendientes, historial, detalle y recibo. No crea pagos."
"App movil / Pago con tarjeta","Cobro Conekta con tarjeta domiciliada","Payment; PaymentApplication; Charge; MemberPaymentSource","billing.payments; billing.payment_applications; billing.charges; members.payment_sources","Cobra cargos pendientes con tarjeta guardada en Conekta y despues registra el pago en billing.payments."
"App movil / SPEI","Generacion de orden SPEI","SpeiOrder; PaymentMethod; Charge","billing.spei_orders; billing.charges; billing.payment_methods","Genera una orden SPEI pendiente con CLABE. Todavia no es pago efectuado."
"App movil / SPEI","Confirmacion por webhook Conekta","SpeiOrder; Payment; PaymentApplication; Charge","billing.spei_orders; billing.payments; billing.payment_applications; billing.charges","Cuando Conekta confirma charge.paid, se registra el pago real y se marca la orden SPEI como pagada."
"App movil / Tarjetas","Fuentes de pago","MemberPaymentSource","members.payment_sources; members.members","Administra tarjetas/fuentes de pago del socio para cobros con Conekta. No registra pagos por si mismo."
"Proceso automatico","Cobros domiciliados","Payment; PaymentApplication; Charge; MemberPaymentSource","billing.payments; billing.payment_applications; billing.charges; members.payment_sources","Comando programado que cobra mensualidades pendientes con tarjeta domiciliada y registra el pago."
"Reservaciones","Reservas de amenidades","Reservation; Amenity; AmenityResource","reservations.reservations; amenities.amenities; amenities.resources","Maneja reservaciones de espacios/amenidades. En el codigo revisado no registra pagos directamente. Se relaciona con pagos por medio de listas de invitados/eventos."
"Reservaciones","Listas de invitados / eventos","ReservationGuestList; ReservationGuestListItem; Charge","guest_lists.guest_lists; guest_lists.guest_list_items; billing.charges","Al aprobar una lista de invitados se genera un cargo pendiente. El pago se realiza despues por el modulo de Billing."
"Reservaciones","Pagos de listas de invitados","ReservationGuestList; ClubPaymentMethod","guest_lists.guest_lists; guest_lists.guest_list_items; billing.club_payment_methods; billing.payment_methods","Pantalla para consultar listas con invitados pendientes de pago. En el controlador actual solo lista informacion; no crea pagos directamente."
"Invitados","Pase por dia","DayPass; DayPassVisitor; Payment; PaymentApplication; Charge","guest_lists.day_passes; guest_lists.day_pass_visitors; billing.payments; billing.payment_applications; billing.charges","Registra pase por dia, visitantes, cargo pagado y pago directo. Este flujo si crea pago efectuado."
"Invitados","Incidentes de pase por dia","VisitorIncident","guest_lists.visitor_incidents","Guarda incidentes de visitantes. Puede tener charged_amount, pero en el codigo revisado no crea pago ni cargo automaticamente."
"Cafeteria","Entrada/salida de visitante","CafeteriaVisit; Payment; PaymentApplication; Charge","guest_lists.cafeteria_visits; billing.payments; billing.payment_applications; billing.charges","Si el visitante no cumple consumo minimo, se registra cobro de acceso, cargo pagado y pago directo."
"Publicidad","Anuncios comerciales digitales","BusinessAd; Charge","advertising.business_ads; billing.charges","Al aprobar un anuncio digital se genera un cargo pendiente por publicidad. El pago se registra despues por Billing."
